Category number,E-number,Name,Maximum level (mg/l or mg/kg as appropriate),Footnotes,Restrictions/exceptions,Category name
04.2.4.1,E 122,"Azorubine, Carmoisine",200,"Maximum individually or for the combination of E 120, E 122, E 129, E 131 and E 133",only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 124,"Ponceau 4R, Cochineal Red A",20,"The total quantity of E 104, E 110, E 124 and the colours in Group III shall not exceed the maximum listed for Group III",Only mostarda di frutta,Fruit and vegetable preparations excluding compote
04.2.4.1,E 129,Allura Red AG,200,"Maximum individually or for the combination of E 120, E 122, E 129, E 131 and E 133",only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 131,Patent Blue V,200,"Maximum individually or for the combination of E 120, E 122, E 129, E 131 and E 133",only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 133,Brilliant Blue FCF,200,"Maximum individually or for the combination of E 120, E 122, E 129, E 131 and E 133",only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 140,"Chlorophylls, Chlorophyllins",quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 150a,Plain caramels,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 150a-d,Caramels,quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 153,Vegetable carbon,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 160a,Carotenes,quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 160a,Carotenes,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 160e,Beta-apo-8’-carotenal (C 30),100,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 162,"Beetroot Red, betanin",quantum satis,,only vegetables (excluding olives),Fruit and vegetable preparations excluding compote
04.2.4.1,E 162,"Beetroot Red, betanin",quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 163,Anthocyanins,quantum satis,,only preserves of red fruit,Fruit and vegetable preparations excluding compote
04.2.4.1,E 163,Anthocyanins,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 171,Titanium dioxide,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 172,Iron oxides and hydroxides,quantum satis,,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 200-202,Sorbic acid - potassium sorbate,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only fruit and vegetable preparations including seaweed-based preparations, fruit-based sauces, aspic, excluding purée, mousse, compote, salads and similar products, canned or bottled",Fruit and vegetable preparations excluding compote
04.2.4.1,E 210-213,Benzoic acid - benzoates,500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only seaweed preparations, olives and olive-based preparations",Fruit and vegetable preparations excluding compote
04.2.4.1,E 210-213,Benzoic acid - benzoates,2 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only cooked red beet,Fruit and vegetable preparations excluding compote
04.2.4.1,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only olive-based preparations,Fruit and vegetable preparations excluding compote
04.2.4.1,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only processed white vegetables and mushrooms,Fruit and vegetable preparations excluding compote
04.2.4.1,E 220-228,Sulphur dioxide - sulphites,100,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only rehydrated dried fruit and lychees, mostarda di frutta",Fruit and vegetable preparations excluding compote
04.2.4.1,E 220-228,Sulphur dioxide - sulphites,300,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only onion, garlic and shallot pulp",Fruit and vegetable preparations excluding compote
04.2.4.1,E 220-228,Sulphur dioxide - sulphites,800,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",only horseradish pulp,Fruit and vegetable preparations excluding compote
04.2.4.1,E 220-228,Sulphur dioxide - sulphites,800,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only jellying fruit extract, liquid pectin for sale to the final consumer",Fruit and vegetable preparations excluding compote
04.2.4.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",800,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only fruit preparations,Fruit and vegetable preparations excluding compote
04.2.4.1,E 338 - 452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",1 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 338-452,"Phosphoric acid - phosphates - di-, tri- and polyphosphates",4 000,The additives may be added individually or in combination ; The maximum level is expressed as P2O5,only glazings for vegetable products,Fruit and vegetable preparations excluding compote
04.2.4.1,E 392,Extracts of rosemary,200,As the sum of carnosol and carnosic acid,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 405,"Propane-1, 2-diol alginate",5 000,,,Fruit and vegetable preparations excluding compote
04.2.4.1,E 432-436,Polysorbates,500,The additives may be added individually or in combination,"only coconut milk
 Period of application:
 From 23 July 2012",Fruit and vegetable preparations excluding compote
04.2.4.1,E 481-482,Stearoyl-2-lactylates,2 000,The additives may be added individually or in combination,only mostarda di frutta,Fruit and vegetable preparations excluding compote
04.2.4.1,E 950,Acesulfame K,350,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 951,Aspartame,1 000,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 952,Cyclamic acid and its Na and Ca salts,250,Maximum usable levels are expressed in free acid,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 954,"Saccharin and its Na, K and Ca salts",50,Maximum usable levels are expressed in free imide,Only seaweed based fish roe analogues,Fruit and vegetable preparations excluding compote
04.2.4.1,E 954,"Saccharin and its Na, K and Ca salts",200,Maximum usable levels are expressed in free imide,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 955,Sucralose,400,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 959,Neohesperidine DC,50,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 960,Steviol glycosides,200,Expressed as steviol equivalents,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 961,Neotame,32,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 962,Salt of aspartame-acesulfame,350,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.1,E 969,Advantame,10,,only energy-reduced,Fruit and vegetable preparations excluding compote
04.2.4.2,E 300,Ascorbic acid,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 301,Sodium ascorbate,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 302,Calcium ascorbate,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 330,Citric acid,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 331,Sodium citrates,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 332,Potassium citrates,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 333,Calcium citrates,quantum satis,,,"Compote, excluding products covered by category 16"
04.2.4.2,E 440,Pectins,quantum satis,,only fruit compote other than apple,"Compote, excluding products covered by category 16"
04.2.4.2,E 509,Calcium chloride,quantum satis,,only fruit compote other than apple,"Compote, excluding products covered by category 16"
04.2.5.1,Group IV,Polyols,quantum satis,,"only energy-reduced jams, jellies, marmalades or with no added sugar",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only low-sugar and similar low calorie or sugar-free products, mermeladas",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 210-213,Benzoic acid - benzoates,500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only low-sugar and similar low calorie or sugar-free products, mermeladas",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 220-228,Sulphur dioxide - sulphites,100,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only jams, jellies and mermelades made with sulphited fruit",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 270,Lactic acid,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 296,Malic acid,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 300,Ascorbic acid,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 327,Calcium lactate,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 330,Citric acid,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 331,Sodium citrates,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 333,Calcium citrates,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 334,Tartaric acid (L(+)-),quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 335,Sodium tartrates,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 350,Sodium malates,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 440,Pectins,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 950,Acesulfame K,1 000,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 951,Aspartame,1 000,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 952,Cyclamic acid and its Na and Ca salts,1 000,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 954,"Saccharin and its Na, K and Ca salts",200,Maximum usable levels are expressed in free acid,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 955,Sucralose,400,Maximum usable levels are expressed in free imide,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 959,Neohesperidine DC,50,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 960,Steviol glycosides,200,Expressed as steviol equivalents,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 961,Neotame,32,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 961,Neotame,2,,"only energy-reduced jams jellies and marmalades, as flavour enhancer",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 962,Salt of aspartame-acesulfame,1 000,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951",only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 964,Polyglycitol syrup,500 000,,"only energy-reduced or with no added sugar
 Period of application:
 From 29 November 2012",Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.1,E 969,Advantame,10,,only energy-reduced jams jellies and marmalades,Extra jam and extra jelly as defined by Directive 2001/113/EC
04.2.5.2,Group IV,Polyols,quantum satis,,only energy-reduced or with no added sugar,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 100,Curcumin,quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b","except chestnut puree
 Period of application:
 until 31 July 2014","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b ; Maximum limit for aluminium coming from aluminium lakes of ","except chestnut puree
 Period of application:
 from 1 August 2014","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 140,"Chlorophylls, Chlorophyllins",quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 141,Copper complexes of chlorophylls and chlorophyllins,quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 142,Green S,100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 150a-d,Caramels,quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 160a,Carotenes,quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 160c,"Paprika extract, capsanthin, capsorubin",quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 160d,Lycopene,10,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 161b,Lutein,100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 162,"Beetroot Red, betanin",quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 163,Anthocyanins,quantum satis,,except chestnut purée,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only low-sugar and similar low calorie or sugar-free products, spreads, mermeladas","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 210-213,Benzoic acid - benzoates,500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"only low-sugar and similar low calorie or sugar-free products, mermeladas","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 220-228,Sulphur dioxide - sulphites,100,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present","only jams, jellies and marmalades made with sulphited fruit","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 270,Lactic acid,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 296,Malic acid,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 300,Ascorbic acid,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 327,Calcium lactate,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 330,Citric acid,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 331,Sodium citrates,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 333,Calcium citrates,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 334,Tartaric acid (L(+)-),quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 335,Sodium tartrates,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 350,Sodium malates,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 400-404,Alginic acid - alginates,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 406,Agar,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 407,Carrageenan,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 410,Locust bean gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 412,Guar gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 415,Xanthan gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 418,Gellan gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 440,Pectins,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 493,Sorbitan monolaurate,25,,only jelly marmalade,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 509,Calcium chloride,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 524,Sodium hydroxide,quantum satis,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 900,Dimethyl polysiloxane,10,,,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 950,Acesulfame K,1 000,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 951,Aspartame,1 000,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 952,Cyclamic acid and its Na and Ca salts,1 000,Maximum usable levels are expressed in free acid,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 954,"Saccharin and its Na, K and Ca salts",200,Maximum usable levels are expressed in free imide,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 955,Sucralose,400,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 959,Neohesperidine DC,50,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 959,Neohesperidine DC,5,,only fruit jellies as flavour enhancer,"Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 960,Steviol glycosides,200,Expressed as steviol equivalents,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 961,Neotame,32,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 961,Neotame,2,,"only energy-reduced jams jellies and marmalades, as flavour enhancer","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 962,Salt of aspartame-acesulfame,1 000,"Limits are expressed as (a): acesulfame K equivalent or (b) aspartame equivalent ; The maximum usable levels are derived from the maximum usable levels for its constituent parts, aspartame (E 951): and acesulfame-K (E 950) ; The levels for both E 951 and E 950 are not to be exceeded by use of the salt of aspartame-acesulfame, either alone or in combination with E 950 or E 951","only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 964,Polyglycitol syrup,500 000,,"only energy-reduced or with no added sugar
 Period of application:
 From 29 November 2012","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.2,E 969,Advantame,10,,"only energy-reduced jams, jellies and marmalades","Jam, jellies and marmalades and sweetened chestnut puree as defined by Directive 2001/113/EC"
04.2.5.3,Group II,Colours at quantum satis,,,except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,Group IV,Polyols,quantum satis,,only energy-reduced or with no added sugar,Other similar fruit or vegetable spreads
04.2.5.3,E 100,Curcumin,quantum satis,,except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,"
                           
                         E 120","Carminic acid, Carmine ",100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,E 142,Green S,100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,E 160d,Lycopene,10,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,E 161b,Lutein,100,"Maximum individually or in combination with E 120, E 142, E 160d and E 161b",except crème de pruneaux,Other similar fruit or vegetable spreads
04.2.5.3,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"other fruit-based spreads, mermeladas",Other similar fruit or vegetable spreads
04.2.5.3,E 200-213,Sorbic acid - potassium sorbate; Benzoic acid - benzoates,1 500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only marmelada,Other similar fruit or vegetable spreads
04.2.5.3,E 210-213,Benzoic acid - benzoates,500,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,"other fruit-based spreads, mermeladas",Other similar fruit or vegetable spreads
04.2.5.3,E 210-213,Benzoic acid - benzoates,1 000,The additives may be added individually or in combination ; The maximum level is applicable to the sum and the levels are expressed as the free acid,only dulce de membrillo,Other similar fruit or vegetable spreads
04.2.5.3,E 220-228,Sulphur dioxide - sulphites,50,"Maximum levels are expressed as SO2 relate to the total quantity, available from all sources, an SO2 content of not more than 10 mg/kg or 10 mg/l is not considered to be present",,Other similar fruit or vegetable spreads
04.2.5.3,E 270,Lactic acid,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 296,Malic acid,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 300,Ascorbic acid,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 327,Calcium lactate,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 330,Citric acid,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 331,Sodium citrates,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 333,Calcium citrates,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 334,Tartaric acid (L(+)-),quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 335,Sodium tartrates,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 350,Sodium malates,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 400-404,Alginic acid - alginates,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 406,Agar,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 407,Carrageenan,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 410,Locust bean gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 412,Guar gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 415,Xanthan gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 418,Gellan gum,10 000,"Maximum individually or in combination with E 400-404, E 406, E 407, E 410, E 412, E 415 and E 418",,Other similar fruit or vegetable spreads
04.2.5.3,E 440,Pectins,quantum satis,,,Other similar fruit or vegetable spreads
04.2.5.3,E 471,Mono- and diglycerides of fatty acids,quantum satis,,,Other similar fruit or vegetable spreads
