Authorised novel food,Conditions under which the novel food may be used,Conditions under which the novel food may be used,Additional specific labelling requirements,Other requirements,Data Protection,footnote
2′-Fucosyllactose,"Food supplements as defined in Directive 2002/46/EC, excluding food supplements for infants","3,0 g/day for general population","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘2′-fucosyllactose’.
2.
The labelling of food supplements containing 2′-fucosyllactose shall bear a statement that the supplements should not be used if other foods with added 2′-fucosyllactose are consumed the same day.
3.
The labelling of food supplements containing 2′-fucosyllactose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added 2′-fucosyllactose are consumed the same day.",,,
2′-Fucosyllactose,"Food supplements as defined in Directive 2002/46/EC, excluding food supplements for infants","1,2 g/day for young children","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘2′-fucosyllactose’.
2.
The labelling of food supplements containing 2′-fucosyllactose shall bear a statement that the supplements should not be used if other foods with added 2′-fucosyllactose are consumed the same day.
3.
The labelling of food supplements containing 2′-fucosyllactose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added 2′-fucosyllactose are consumed the same day.",,,
Galacto-oligosaccharide,Specified food category,Maximum levels (expressed as ratio kg galacto-oligosaccharide/kg final food),,,,
Galacto-oligosaccharide,Food Supplements as defined in Directive 2002/46/EC,"0,333",,,,
Galacto-oligosaccharide,Milk,"0,020",,,,
Galacto-oligosaccharide,Milk drinks,"0,030",,,,
Galacto-oligosaccharide,Meal replacement for weight control (as drinks),"0,020",,,,
Galacto-oligosaccharide,Dairy analogue drinks,"0,020",,,,
Galacto-oligosaccharide,Yoghurt,"0,033",,,,
Galacto-oligosaccharide,Dairy based deserts,"0,043",,,,
Galacto-oligosaccharide,Frozen dairy deserts,"0,043",,,,
Galacto-oligosaccharide,Fruit drinks and energy drinks,"0,021",,,,
Galacto-oligosaccharide,Infant meal replacement drinks,"0,012",,,,
Galacto-oligosaccharide,Baby juice,"0,025",,,,
Galacto-oligosaccharide,Baby yogurt drink,"0,024",,,,
Galacto-oligosaccharide,Baby desert,"0,027",,,,
Galacto-oligosaccharide,Baby snack,"0,143",,,,
Galacto-oligosaccharide,Baby cereals,"0,027",,,,
Galacto-oligosaccharide,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,"0,013",,,,
Galacto-oligosaccharide,Juice,"0,021",,,,
Galacto-oligosaccharide,Fruit pie fillings,"0,059",,,,
Galacto-oligosaccharide,Fruit preparations,"0,125",,,,
Galacto-oligosaccharide,Bars,"0,125",,,,
Galacto-oligosaccharide,Cereals,"0,125",,,,
Galacto-oligosaccharide,Infant formula and follow-on formula as defined in Regulation (EU) No 609/2013,"0,008",,,,
Glucosamine HCl,Specified food category,Maximum levels,,,,
Glucosamine HCl,Food Supplements as defined in Directive 2002/46/EC,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine HCl,Foods covered by Regulation (EU) No 609/2013,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine HCl,,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine HCl,Meal replacement for weight control,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine HCl,"Foods intended to meet the expenditure of intense muscular effort, especially for sportsmen",In line with normal food use of glucosamine from shell fish,,,,
Glucosamine HCl,Foods bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine sulphate KCl,Specified food category,Maximum levels,,,,
Glucosamine sulphate KCl,Food Supplements as defined in Directive 2002/46/EC,In line with normal food use of glucosamine from shell fish,,,,
Glucosamine sulphate NaCl,Specified food category,Maximum levels,,,,
Glucosamine sulphate NaCl,Food Supplements as defined in Directive 2002/46/EC,In line with normal food use of glucosamine from shell fish,,,,
Guar Gum,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Guar Gum’.
2.
A specific mention of the possible risks of digestive discomfort linked to the exposure of children aged under 8 to guar gum must be visible on the label of any foodstuffs containing it.
For example, ‘Excessive consumption of these products may cause digestive discomfort, especially for children under 8 years of age’.
3.
In the case of products with two compartments containing dairy and cereal products respectively, the instructions for use must clearly specify the need to mix the cereal and the dairy productbefore consumption, in order to take into account the potential risk of gastro-intestinal obstruction.",,,
Guar Gum,"Fresh dairy products such as yogurts, fermented milks, fresh cheeses and other dairy-based desserts.","1,5 g/100 g","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Guar Gum’.
2.
A specific mention of the possible risks of digestive discomfort linked to the exposure of children aged under 8 to guar gum must be visible on the label of any foodstuffs containing it.
For example, ‘Excessive consumption of these products may cause digestive discomfort, especially for children under 8 years of age’.
3.
In the case of products with two compartments containing dairy and cereal products respectively, the instructions for use must clearly specify the need to mix the cereal and the dairy productbefore consumption, in order to take into account the potential risk of gastro-intestinal obstruction.",,,
Guar Gum,Fruit or vegetable-based liquid foodstuffs (of the ‘smoothie’ variety),"1,8 g/100 g","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Guar Gum’.
2.
A specific mention of the possible risks of digestive discomfort linked to the exposure of children aged under 8 to guar gum must be visible on the label of any foodstuffs containing it.
For example, ‘Excessive consumption of these products may cause digestive discomfort, especially for children under 8 years of age’.
3.
In the case of products with two compartments containing dairy and cereal products respectively, the instructions for use must clearly specify the need to mix the cereal and the dairy productbefore consumption, in order to take into account the potential risk of gastro-intestinal obstruction.",,,
Guar Gum,Fruit or vegetable-based compotes,"3,25 g/100 g","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Guar Gum’.
2.
A specific mention of the possible risks of digestive discomfort linked to the exposure of children aged under 8 to guar gum must be visible on the label of any foodstuffs containing it.
For example, ‘Excessive consumption of these products may cause digestive discomfort, especially for children under 8 years of age’.
3.
In the case of products with two compartments containing dairy and cereal products respectively, the instructions for use must clearly specify the need to mix the cereal and the dairy productbefore consumption, in order to take into account the potential risk of gastro-intestinal obstruction.",,,
Guar Gum,"Cereals accompanied by a dairy product, in packaging containing two compartments",10 g/100 g in the cereals; None in the accompanying dairy product; 1 g/100 g in the product when ready to eat,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Guar Gum’.
2.
A specific mention of the possible risks of digestive discomfort linked to the exposure of children aged under 8 to guar gum must be visible on the label of any foodstuffs containing it.
For example, ‘Excessive consumption of these products may cause digestive discomfort, especially for children under 8 years of age’.
3.
In the case of products with two compartments containing dairy and cereal products respectively, the instructions for use must clearly specify the need to mix the cereal and the dairy productbefore consumption, in order to take into account the potential risk of gastro-intestinal obstruction.",,,
Heat-treated milk products fermented with Bacteroides xylanisolvens,Specified food category,Maximum levels,,,,
Heat-treated milk products fermented with Bacteroides xylanisolvens,"Fermented milk products (in liquid, semi-liquid and spray-dried powder forms)",,,,,
Hydroxytyrosol,Specified food category,Maximum levels,"The designation of the novel food on the labelling of the food products containing it shall be ‘hydroxytyrosol’.
The labelling of the food products containing hydroxytyrosol shall bear the following statements:
(a)
This food product should not be consumed by children under the age of three years, pregnant women, and lactating women;
(b)
This food product should not be used for cooking, baking or frying’",,,
Hydroxytyrosol,"Fish and vegetable oils, (except olive oils and olive pomace oils as defined in Part VIII of Annex VII of Regulation (EU) No 1308/2013 (6)), placed as such on the market","0,215 g/kg","The designation of the novel food on the labelling of the food products containing it shall be ‘hydroxytyrosol’.
The labelling of the food products containing hydroxytyrosol shall bear the following statements:
(a)
This food product should not be consumed by children under the age of three years, pregnant women, and lactating women;
(b)
This food product should not be used for cooking, baking or frying’",,,"(6) Regulation (EU) No 1308/2013 of the European Parliament and of the Council of 17 December 2013 establishing a common organisation of the markets in agricultural products and repealing Council Regulation (EEC) No 922/72, (EEC) No 234/79, (EC) No 1037/2001 and (EC) 1234/2007 (OJ L 347, 20.12.2013, p. 671). "
Hydroxytyrosol,"Spreadable fats as defined in Part VII of Annex VII of Regulation (EU) No 1308/2013, placed as such on the market","0,175 g/kg","The designation of the novel food on the labelling of the food products containing it shall be ‘hydroxytyrosol’.
The labelling of the food products containing hydroxytyrosol shall bear the following statements:
(a)
This food product should not be consumed by children under the age of three years, pregnant women, and lactating women;
(b)
This food product should not be used for cooking, baking or frying’",,,
Ice Structuring Protein type III HPLC 12,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ice Structuring Protein’,,,
Ice Structuring Protein type III HPLC 12,Edible ices,"0,01 %",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Ice Structuring Protein’,,,
Aqueous extracts of dried leaves of Ilex guayusa,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Extracts of dried leaves of Ilex guayusa’,,,
Aqueous extracts of dried leaves of Ilex guayusa,Herbal infusions,In line with normal use in herbal infusions and food supplements of a similar aqueous extract of dried leaves of Ilex paraguariensis,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Extracts of dried leaves of Ilex guayusa’,,,
Aqueous extracts of dried leaves of Ilex guayusa,Food Supplements as defined in Directive 2002/46/EC,In line with normal use in herbal infusions and food supplements of a similar aqueous extract of dried leaves of Ilex paraguariensis,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Extracts of dried leaves of Ilex guayusa’,,,
Isomalto-oligosaccharide,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Energy-Reduced Soft Drinks,"6,5 %","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Energy Drinks,"5,0 %","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,"Foods intended to meet the expenditure of intense muscular efforts, especially for sportsmen (including isotonic drinks)","6,5 %","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Fruit Juices,5 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Processed Vegetables and Vegetable Juices,5 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Other Soft Drinks,5 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Cereals Bars,10 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,"Cookies, Biscuits",20 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Breakfast Cereal Bars,25 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Hard Candies,97 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Soft Candies/Chocolate Bars,25 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomalto-oligosaccharide,Meal replacement for weight control (as bars or milk based),20 %,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltooligosaccharide’.
2.
Foods containing the novel ingredient must be labelled as ‘a source of glucose’.",,,
Isomaltulose,Not specified,Not specified,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Isomaltulose’.
2.
The designation of the novel food on the labelling shall be accompanied by indication that the ‘Isomaltulose is a source of glucose and fructose’.",,,
Lactitol,Specified food category,Maximum levels,The designation of the novel food on the labelling of the food supplements containing it shall be ‘Lactitol’,,,
Lactitol,"Food Supplements as defined in Directive 2002/46/EC (capsules, tablets or powder) intended for the adult population",20 g/day,The designation of the novel food on the labelling of the food supplements containing it shall be ‘Lactitol’,,,
Lacto-N-neotetraose,Specified food category,Maximum levels,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Unflavoured pasteurised and sterilised (including UHT) milk-based products,"0,6 g/l","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Unflavoured fermented milk-based products,"0,6 g/l for beverages; 9,6 g/kg for products other than beverages","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Flavoured fermented milk-based products including heat-treated products,"0,6 g/l for beverages; 9,6 g/kg for products other than beverages","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,"Dairy analogues, including beverage whiteners","0,6 g/l for beverages; 6 g/kg for products other than beverages; 200 g/kg for whitener","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Cereal bars,6 g/kg,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Table-top sweeteners,100 g/kg,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Infant formula as defined in Regulation (EU) No 609/2013,"0,6 g/l in combination with up to 1,2 g/l of 2′-fucosyllactose at a ratio of 1:2 in the final product ready for use, marketed as such or reconstituted as instructed by the manufacturer","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Follow-on formula as defined in Regulation (EU) No 609/2013,"0,6 g/l in combination with up to 1,2 g/l of 2′-fucosyllactose at a ratio of 1:2 in the final product ready for use, marketed as such or reconstituted as instructed by the manufacturer","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Processed cereal-based food and baby food for infants and young children as defined in Regulation (EU) No 609/2013,"6 g/kg for products other than beverages; 0,6 g/l for liquid food ready for use, marketed as such or reconstituted as instructed by the manufacturer","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Milk-based drinks and similar products intended for young children,"0,6 g/l for milk-based drinks and similar products added alone or in combination with 2′-fucosyllactose, at a ratio of 1:2 in the final product ready for use, marketed as such or reconstituted as instructed by the manufacturer","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013,"2,4 g/l for drinks; 20 g/kg for bars","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Bread and pasta products bearing statements on the absence or reduced presence of gluten in accordance with the requirements of Commission Implementing Regulation (EU) No 828/2014,30 g/kg,"1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,Flavoured drinks,"0,6 g/l","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,"Coffee, tea (excluding black tea), herbal and fruit infusions, chicory; tea, herbal and fruit infusions and chicory extracts; tea, plant, fruit and cereal preparations for infusions, as well as mixes and instant mixes of these products","4,8 g/l - the maximum level refers to the products ready to use","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lacto-N-neotetraose,"Food supplements as defined in Directive 2002/46/EC, excluding food supplements for infants","1,5 g/day for general population; 0,6 g/day for young children","1.
The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘lacto-N-neotetraose’.
2.
The labelling of food supplements containing lacto-N-neotetraose shall bear a statement that the supplements should not be used if other foods with added lacto-N-neotetraose are consumed the same day.
3.
The labelling of food supplements containing lacto-N-neotetraose intended for young children shall bear a statement that the supplements should not be used if breast milk or other foods with added lacto-N-neotetraose are consumed the same day.",,,
Lonicera caerulea L. berries (haskap) (Traditional food from a third country),Not specified,Not specified,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘haskap (Lonicera caerulea) berries’,,,
Lucerne leaf extract from Medicago sativa,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lucerne (Medicago sativa) protein’ or ‘Alfalfa (Medicago sativa) protein’.,,,
Lucerne leaf extract from Medicago sativa,Food supplements as defined in Directive 2002/46/EC,10 g/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lucerne (Medicago sativa) protein’ or ‘Alfalfa (Medicago sativa) protein’.,,,
Lycopene,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Fruit/vegetable juice-based drinks (including concentrates),"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,8 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Breakfast cereals,5 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Fats and dressings,10 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Soups other than tomato soups,1 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Bread (including crispy breads),3 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene,Food supplements as defined in Directive 2002/46/EC,15 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Fruit/vegetable juice-based drinks (including concentrates),"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,8 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Breakfast cereals,5 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Fats and dressings,10 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Soups other than tomato soups,1 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Bread (including crispy breads),3 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from Blakeslea trispora,Food supplements as defined in Directive 2002/46/EC,15 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Specified food category,Maximum levels,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Fruit/vegetable juice-based drinks (including concentrates),"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Drinks intended to meet the expenditure of intense muscular effort especially for sportsmen,"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Total diet replacement for weight control as defined in Regulation (EU) No 609/2013 and meal replacements for weight control,8 mg/meal,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Breakfast cereals,5 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Fats and dressings,10 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Soups other than tomato soups,1 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Bread (including crispy breads),3 mg/100 g,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Foods for special medical purposes as defined in Regulation (EU) No 609/2013,In accordance with the particular nutritional requirements of the persons for whom the products are intended,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene from tomatoes,Food supplements as defined in Directive 2002/46/EC,15 mg/day,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene’,,,
Lycopene oleoresin from tomatoes,Specified food category,Maximum levels of lycopene,The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
Lycopene oleoresin from tomatoes,Fruit/vegetable juice-based drinks (including concentrates),"2,5 mg/100 g",The designation of the novel food on the labelling of the foodstuffs containing it shall be ‘Lycopene oleoresin from tomatoes’,,,
