FCM substance No,Ref. No,CAS No,Substance name,"Use as additive or polymer production aid
                     (yes/no)","Use as monomer or other starting substance or macromolecule obtained from microbial fermentation
                     (yes/no)","FRF applicable
                     (yes/no)","SML
                     [mg/kg]","SML(T)
                     [mg/kg]
                     (Group restriction No)",Restrictions and specifications,Notes on verification of compliance
257,16660,0025265-71-8,dipropyleneglycol,yes,yes,no,,,,
257,51760,,dipropyleneglycol,yes,yes,no,,,,
258,70480,0000111-06-8,"palmitic acid, butyl ester",yes,no,no,,,,
259,58720,0000111-14-8,heptanoic acid,yes,no,no,,,,
260,24280,0000111-20-6,sebacic acid,no,yes,no,,,,
261,15790,0000111-40-0,diethylenetriamine,no,yes,no,5,,,
262,35284,0000111-41-1,N-(2-aminoethyl)ethanolamine,yes,no,no,"0,05",,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. For indirect food contact only, behind a PET layer.",
263,13326,0000111-46-6,diethyleneglycol,yes,yes,no,,'(2),,
263,15760,0000111-46-6,diethyleneglycol,yes,yes,no,,'(2),,
263,47680,0000111-46-6,diethyleneglycol,yes,yes,no,,'(2),,
264,22660,0000111-66-0,1-octene,no,yes,no,15,,,
265,22600,0000111-87-5,1-octanol,no,yes,no,,,,
266,25510,0000112-27-6,triethyleneglycol,yes,yes,no,,,,
266,94320,0000112-27-6,triethyleneglycol,yes,yes,no,,,,
267,15100,0000112-30-1,1-decanol,no,yes,no,,,,
268,16704,0000112-41-4,1-dodecene,no,yes,no,"0,05",,,
269,25090,0000112-60-7,tetraethyleneglycol,yes,yes,no,,,,
269,92350,0000112-60-7,tetraethyleneglycol,yes,yes,no,,,,
270,22763,0000112-80-1,oleic acid,yes,yes,no,,,,
270,69040,0000112-80-1,oleic acid,yes,yes,no,,,,
271,52720,0000112-84-5,erucamide,yes,no,no,,,,
272,37040,0000112-85-6,behenic acid,yes,no,no,,,,
273,52730,0000112-86-7,erucic acid,yes,no,no,,,,
274,22570,0000112-96-9,octadecyl isocyanate,no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
275,23980,0000115-07-1,propylene,no,yes,no,,,,
276,19000,0000115-11-7,isobutene,no,yes,no,,,,
277,18280,0000115-27-5,hexachloroendomethylenetetrahydrophthalic anhydride,no,yes,no,ND,,,
278,18250,0000115-28-6,hexachloroendomethylenetetrahydrophthalic acid,no,yes,no,ND,,,
279,22840,0000115-77-5,pentaerythritol,yes,yes,no,,,,
279,71600,0000115-77-5,pentaerythritol,yes,yes,no,,,,
280,73720,0000115-96-8,"phosphoric acid, trichloroethyl ester",yes,no,no,ND,,,
281,25120,0000116-14-3,tetrafluoroethylene,no,yes,no,"0,05",,,
282,18430,0000116-15-4,hexafluoropropylene,no,yes,no,ND,,,
283,74640,0000117-81-7,"phthalic acid, bis(2-ethylhexyl) ester",yes,no,no,"1,5",'(32),"Only to be used as: (a) plasticiser in repeated use materials and articles contacting non-fatty foods; (b) technical support agent in concentrations up to 0,1 % in the final product.",'(7)
284,84880,0000119-36-8,"salicylic acid, methyl ester",yes,no,no,30,,,
285,66480,0000119-47-1,"2,2′-methylene bis(4-methyl-6-tert-butylphenol)",yes,no,yes,,'(13),,
286,38240,0000119-61-9,benzophenone,yes,no,yes,"0,6",,,
287,60160,0000120-47-8,"4-hydroxybenzoic acid, ethyl ester",yes,no,no,,,,
288,24970,0000120-61-6,"terephthalic acid, dimethyl ester",no,yes,no,,,,
289,15880,0000120-80-9,"1,2-dihydroxybenzene",no,yes,no,6,,,
289,24051,0000120-80-9,"1,2-dihydroxybenzene",no,yes,no,6,,,
290,55360,0000121-79-9,"gallic acid, propyl ester",yes,no,no,,'(20),,
291,19150,0000121-91-5,isophthalic acid,no,yes,no,,'(27),,
292,94560,0000122-20-3,triisopropanolamine,yes,no,no,5,,,
293,23175,0000122-52-1,"phosphorous acid, triethyl ester",no,yes,no,ND,,1 mg/kg in final product,'(1)
294,93120,0000123-28-4,"thiodipropionic acid, didodecyl ester",yes,no,yes,,'(14),,
295,15940,0000123-31-9,"1,4-dihydroxybenzene",yes,yes,no,"0,6",,,
295,18867,0000123-31-9,"1,4-dihydroxybenzene",yes,yes,no,"0,6",,,
295,48620,0000123-31-9,"1,4-dihydroxybenzene",yes,yes,no,"0,6",,,
296,23860,0000123-38-6,propionaldehyde,no,yes,no,,,,
297,23950,0000123-62-6,propionic anhydride,no,yes,no,,,,
298,14110,0000123-72-8,butyraldehyde,no,yes,no,,,,
299,63840,0000123-76-2,levulinic acid,yes,no,no,,,,
300,30045,0000123-86-4,"acetic acid, butyl ester",yes,no,no,,,,
301,89120,0000123-95-5,"stearic acid, butyl ester",yes,no,no,,,,
302,12820,0000123-99-9,azelaic acid,no,yes,no,,,,
303,12130,0000124-04-9,adipic acid,yes,yes,no,,,,
303,31730,0000124-04-9,adipic acid,yes,yes,no,,,,
304,14320,0000124-07-2,caprylic acid,yes,yes,no,,,,
304,41960,0000124-07-2,caprylic acid,yes,yes,no,,,,
305,15274,0000124-09-4,hexamethylenediamine,no,yes,no,"2,4",,,
305,18460,0000124-09-4,hexamethylenediamine,no,yes,no,"2,4",,,
306,88960,0000124-26-5,stearamide,yes,no,no,,,,
307,42160,0000124-38-9,carbon dioxide,yes,no,no,,,,
308,91200,0000126-13-6,sucrose acetate isobutyrate,yes,no,no,,,,
309,91360,0000126-14-7,sucrose octaacetate,yes,no,no,,,,
310,16390,0000126-30-7,"2,2-dimethyl-1,3-propanediol",no,yes,no,"0,05",,,
310,22437,0000126-30-7,"2,2-dimethyl-1,3-propanediol",no,yes,no,"0,05",,,
311,16480,0000126-58-9,dipentaerythritol,yes,yes,no,,,,
311,51200,0000126-58-9,dipentaerythritol,yes,yes,no,,,,
312,21490,0000126-98-7,methacrylonitrile,no,yes,no,ND,,,
313,16650,0000127-63-9,diphenyl sulphone,yes,yes,no,3,,,
313,51570,0000127-63-9,diphenyl sulphone,yes,yes,no,3,,,
314,23500,0000127-91-3,β-pinene,no,yes,no,,,,
315,46640,0000128-37-0,"2,6-di-tert-butyl-p-cresol",yes,no,no,3,,,
316,23230,0000131-17-9,"phthalic acid, diallyl ester",no,yes,no,ND,,,
317,48880,0000131-53-3,"2,2′-dihydroxy-4-methoxybenzophenone",yes,no,yes,,'(8),,
318,48640,0000131-56-6,"2,4-dihydroxybenzophenone",yes,no,no,,'(8),,
319,61360,0000131-57-7,2-hydroxy-4-methoxybenzophenone,yes,no,yes,,'(8),,
320,37680,0000136-60-7,"benzoic acid, butyl ester",yes,no,no,,,,
321,36080,0000137-66-6,ascorbyl palmitate,yes,no,no,,,,
322,63040,0000138-22-7,"lactic acid, butyl ester",yes,no,no,,,,
323,11470,0000140-88-5,"acrylic acid, ethyl ester",no,yes,no,,'(22),,
324,83700,0000141-22-0,ricinoleic acid,yes,no,yes,42,,,
325,10780,0000141-32-2,"acrylic acid, n-butyl ester",no,yes,no,,'(22),,
326,12763,0000141-43-5,2-aminoethanol,yes,yes,no,"0,05",,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. For indirect food contact only, behind a PET layer.",
326,35170,0000141-43-5,2-aminoethanol,yes,yes,no,"0,05",,"Not to be used for articles in contact with fatty foods for which simulant D1 and/or D2 is laid down. For indirect food contact only, behind a PET layer.",
327,30140,0000141-78-6,"acetic acid, ethyl ester",yes,no,no,,,,
328,65040,0000141-82-2,malonic acid,yes,no,no,,,,
329,59360,0000142-62-1,hexanoic acid,yes,no,no,,,,
330,19470,0000143-07-7,lauric acid,yes,yes,no,,,,
330,63280,0000143-07-7,lauric acid,yes,yes,no,,,,
331,22480,0000143-08-8,1-nonanol,no,yes,no,,,,
332,69760,0000143-28-2,oleyl alcohol,yes,no,no,,,,
333,22775,0000144-62-7,oxalic acid,yes,yes,no,6,,,
333,69920,0000144-62-7,oxalic acid,yes,yes,no,6,,,
334,17005,0000151-56-4,ethyleneimine,no,yes,no,ND,,,
335,68960,0000301-02-0,oleamide,yes,no,no,,,,
336,15095,0000334-48-5,n-decanoic acid,yes,yes,no,,,,
336,45940,0000334-48-5,n-decanoic acid,yes,yes,no,,,,
337,15820,0000345-92-6,"4,4′-difluorobenzophenone",no,yes,no,"0,05",,,
338,71020,0000373-49-9,palmitoleic acid,yes,no,no,,,,
339,86160,0000409-21-2,silicon carbide,yes,no,no,,,,
340,47440,0000461-58-5,dicyanodiamide,yes,no,no,60,,,
341,13180,0000498-66-8,bicyclo[2.2.1]hept-2-ene,no,yes,no,"0,05",,,
341,22550,0000498-66-8,bicyclo[2.2.1]hept-2-ene,no,yes,no,"0,05",,,
342,14260,0000502-44-3,caprolactone,no,yes,no,,'(29),,
343,23770,0000504-63-2,"1,3-propanediol",no,yes,no,"0,05",,,
344,13810,0000505-65-7,"1,4-butanediol formal",no,yes,no,"0,05",15 30,,'(21)
344,21821,0000505-65-7,"1,4-butanediol formal",no,yes,no,"0,05",15 30,,'(21)
345,35840,0000506-30-9,arachidic acid,yes,no,no,,,,
346,10030,0000514-10-3,abietic acid,no,yes,no,,,,
347,13050,0000528-44-9,trimellitic acid,no,yes,no,,'(21),,
347,25540,0000528-44-9,trimellitic acid,no,yes,no,,'(21),,
348,22350,0000544-63-8,myristic acid,yes,yes,no,,,,
348,67891,0000544-63-8,myristic acid,yes,yes,no,,,,
349,25550,0000552-30-7,trimellitic anhydride,no,yes,no,,'(21),,
350,63920,0000557-59-5,lignoceric acid,yes,no,no,,,,
351,21730,0000563-45-1,3-methyl-1-butene,no,yes,no,ND,,Only to be used in polypropylene,'(1)
352,16360,0000576-26-1,"2,6-dimethylphenol",no,yes,no,"0,05",,,
353,42480,0000584-09-8,"carbonic acid, rubidium salt",yes,no,no,12,,,
354,25210,0000584-84-9,"2,4-toluene diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
355,20170,0000585-07-9,"methacrylic acid, tert-butyl ester",no,yes,no,,'(23),,
356,18820,0000592-41-6,1-hexene,no,yes,no,3,,,
357,13932,0000598-32-3,3-buten-2-ol,no,yes,no,ND,,Only to be used as a co-monomer for the preparation of polymeric additive,'(1)
358,14841,0000599-64-4,4-cumylphenol,no,yes,no,"0,05",,,
359,15970,0000611-99-4,"4,4′-dihydroxybenzophenone",yes,yes,no,,'(8),,
359,48720,0000611-99-4,"4,4′-dihydroxybenzophenone",yes,yes,no,,'(8),,
360,57920,0000620-67-7,glycerol triheptanoate,yes,no,no,,,,
361,18700,0000629-11-8,"1,6-hexanediol",no,yes,no,"0,05",,,
362,14350,0000630-08-0,carbon monoxide,no,yes,no,,,,
363,16450,0000646-06-0,"1,3-dioxolane",no,yes,no,5,,,
364,15404,0000652-67-5,"1,4:3,6-dianhydrosorbitol",no,yes,no,5,,"Only to be used as: (a) a co-monomer in poly(ethylene-co-isosorbide terephthalate); (b) a co-monomer at levels of up to 40 mole % of the diol component in combination with ethylene glycol and/or 1,4-bis(hydroxymethyl)cyclohexane, for the production of polyesters. Polyesters made using dianhydrosorbitol together with 1,4-bis(hydroxymethyl)cyclohexane shall not be used in contact with foods containing more than 15 % alcohol.",
365,11680,0000689-12-3,"acrylic acid, isopropyl ester",no,yes,no,,'(22),,
366,22150,0000691-37-2,4-methyl-1-pentene,no,yes,no,"0,05",,,
367,16697,0000693-23-2,n-dodecanedioic acid,no,yes,no,,,,
368,93280,0000693-36-7,"thiodipropionic acid, dioctadecyl ester",yes,no,yes,,'(14),,
369,12761,0000693-57-2,12-aminododecanoic acid,no,yes,no,"0,05",,,
370,21460,0000760-93-0,methacrylic anhydride,no,yes,no,,'(23),,
371,11510,0000818-61-1,"acrylic acid, monoester with ethyleneglycol",no,yes,no,,'(22),,
371,11830,0000818-61-1,"acrylic acid, monoester with ethyleneglycol",no,yes,no,,'(22),,
372,18640,0000822-06-0,hexamethylene diisocyanate,no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
373,22390,0000840-65-3,"2,6-naphthalenedicarboxylic acid, dimethyl ester",no,yes,no,"0,05",,,
374,21190,0000868-77-9,"methacrylic acid, monoester with ethyleneglycol",no,yes,no,,'(23),,
375,15130,0000872-05-9,1-decene,no,yes,no,"0,05",,,
376,66905,0000872-50-4,N-methylpyrrolidone,yes,no,no,60,,,
377,12786,0000919-30-2,3-aminopropyltriethoxysilane,no,yes,no,"0,05",,"Residual extractable content of 3-aminopropyltriethoxysilane to be less than 3 mg/kg filler when used for the reactive surface treatment of inorganic fillers. SML = 0,05 mg/kg when used for the surface treatment of materials and articles.",
378,21970,0000923-02-4,N-methylolmethacrylamide,no,yes,no,"0,05",,,
379,21940,0000924-42-5,N-methylolacrylamide,no,yes,no,ND,,,
380,11980,0000925-60-0,"acrylic acid, propyl ester",no,yes,no,,'(22),,
381,15030,0000931-88-4,cyclooctene,no,yes,no,"0,05",,Only to be used in polymers contacting foods for which simulant A is laid down,
382,19490,0000947-04-6,laurolactam,no,yes,no,5,,,
383,72160,0000948-65-2,2-phenylindole,yes,no,yes,15,,,
384,40000,0000991-84-4,"2,4-bis(octylmercapto)-6-(4-hydroxy-3,5-di-tert-butylanilino)-1,3,5-triazine",yes,no,yes,30,,,
385,11530,0000999-61-1,"acrylic acid, 2-hydroxypropyl ester",no,yes,no,"0,05",,"SML expressed as the sum of acrylic acid, 2-hydroxypropyl ester and acrylic acid, 2-hydroxyisopropyl ester. It may contain up to 25 % (m/m) of acrylic acid, 2-hydroxyisopropyl ester (CAS No 0002918-23-2).",'(1)
386,55280,0001034-01-1,"gallic acid, octyl ester",yes,no,no,,'(20),,
387,26155,0001072-63-5,1-vinylimidazole,no,yes,no,"0,05",,, (1) 
388,25080,0001120-36-1,1-tetradecene,no,yes,no,"0,05",,,
389,22360,0001141-38-4,"2,6-naphthalenedicarboxylic acid",no,yes,no,5,,,
390,55200,0001166-52-5,"gallic acid, dodecyl ester",yes,no,no,,'(20),,
391,22932,0001187-93-5,perfluoromethyl perfluorovinyl ether,no,yes,no,"0,05",,Only to be used in: - anti-stick coatings; - fluoro- and perfluoropolymers intended for repeated use applications where the contact ratio is 1 dm2 surface in contact with at least 150 kg food.,
392,72800,0001241-94-7,"phosphoric acid, diphenyl 2-ethylhexyl ester",yes,no,yes,"2,4",,,
393,37280,0001302-78-9,bentonite,yes,no,no,,,,
394,41280,0001305-62-0,calcium hydroxide,yes,no,no,,,,
395,41520,0001305-78-8,calcium oxide,yes,no,no,,,,
396,64640,0001309-42-8,magnesium hydroxide,yes,no,no,,,,
397,64720,0001309-48-4,magnesium oxide,yes,no,no,,,,
398,35760,0001309-64-4,antimony trioxide,yes,no,no,"0,04",,SML expressed as antimony,'(6)
399,81600,0001310-58-3,potassium hydroxide,yes,no,no,,,,
400,86720,0001310-73-2,sodium hydroxide,yes,no,no,,,,
401,24475,0001313-82-2,sodium sulphide,no,yes,no,,,,
402,96240,0001314-13-2,zinc oxide,yes,no,no,,,,
403,96320,0001314-98-3,zinc sulphide,yes,no,no,,,,
404,67200,0001317-33-5,molybdenum disulphide,yes,no,no,,,,
405,16690,0001321-74-0,divinylbenzene,no,yes,no,ND,,SML expressed as the sum of divinylbenzene and ethylvinylbenzene. It may contain up to 45 % (m/m) of ethylvinylbenzene.,'(1)
406,83300,0001323-39-3,"1,2-propyleneglycol monostearate",yes,no,no,,,,
407,87040,0001330-43-4,sodium tetraborate,yes,no,no,,'(16),,
408,82960,0001330-80-9,"1,2-propyleneglycol monooleate",yes,no,no,,,,
409,62240,0001332-37-2,iron oxide,yes,no,no,,,,
410,62720,0001332-58-7,kaolin,yes,no,no,,,"Particles can be thinner than 100 nm only if incorporated at a quantity of less than 12 % w/w in an ethylene vinyl alcohol copolymer (EVOH) inner layer of a multi-layer structure, in which the layer in direct contact with the food provides a functional barrier preventing migration of particles into the food.",
411,42080,0001333-86-4,carbon black,yes,no,no,,,"Primary particles of 10 - 300 nm which are aggregated to a size of 100 - 1 200 nm which may form agglomerates within the size distribution of 300 nm - mm. Toluene extractables: maximum 0,1 %, determined according to ISO method 6209. UV absorption of cyclohexane extract at 386 nm: < 0,02 AU for a 1 cm cell or < 0,1 AU for a 5 cm cell, determined according to a generally recognised method of analysis. Benzo(a)pyrene content: max 0,25 mg/kg carbon black. Maximum use level of carbon black in the polymer: 2,5 % w/w.",
412,45200,0001335-23-5,copper iodide,yes,no,no,,'(6),,
413,35600,0001336-21-6,ammonium hydroxide,yes,no,no,,,,
414,87600,0001338-39-2,sorbitan monolaurate,yes,no,no,,,,
415,87840,0001338-41-6,sorbitan monostearate,yes,no,no,,,,
416,87680,0001338-43-8,sorbitan monooleate,yes,no,no,,,,
417,85680,0001343-98-2,silicic acid,yes,no,no,,,,
418,34720,0001344-28-1,aluminium oxide,yes,no,no,,,,
419,92150,0001401-55-4,tannic acids,yes,no,no,,,According to the JECFA specifications,
420,19210,0001459-93-4,"isophthalic acid, dimethyl ester",no,yes,no,"0,05",,,
421,13000,0001477-55-0,"1,3-benzenedimethanamine",no,yes,no,,'(34),,
422,38515,0001533-45-5,"4,4′-bis(2-benzoxazolyl)stilbene",yes,no,yes,"0,05",,,'(2)
423,22937,0001623-05-8,perfluoropropylperfluorovinyl ether,no,yes,no,"0,05",,,
424,15070,0001647-16-1,"1,9-decadiene",no,yes,no,"0,05",,,
425,10840,0001663-39-4,"acrylic acid, tert-butyl ester",no,yes,no,,'(22),,
426,13510,0001675-54-3,"2,2-bis(4-hydroxyphenyl)propane bis(2,3-epoxypropyl) ether",no,yes,no,,,In compliance with Commission Regulation (EC) No 1895/2005 (1),
426,13610,0001675-54-3,"2,2-bis(4-hydroxyphenyl)propane bis(2,3-epoxypropyl) ether",no,yes,no,,,In compliance with Commission Regulation (EC) No 1895/2005 (1),
427,18896,0001679-51-2,4-(hydroxymethyl)-1-cyclohexene,no,yes,no,"0,05",,,
428,95200,0001709-70-2,"1,3,5-trimethyl-2,4,6-tris(3,5-di-tert-butyl-4-hydroxybenzyl)benzene",yes,no,no,,,,
429,13210,0001761-71-3,bis(4-aminocyclohexyl)methane,no,yes,no,"0,05",,,
430,95600,0001843-03-4,"1,1,3-tris(2-methyl-4-hydroxy-5-tert-butylphenyl) butane",yes,no,yes,5,,,
431,61600,0001843-05-6,2-hydroxy-4-n-octyloxybenzophenone,yes,no,yes,,'(8),,
432,12280,0002035-75-8,adipic anhydride,no,yes,no,,,,
433,68320,0002082-79-3,"octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate",yes,no,yes,6,,,
434,20410,0002082-81-7,"methacrylic acid, diester with 1,4-butanediol",no,yes,no,"0,05",,,
435,14230,0002123-24-2,"caprolactam, sodium salt",no,yes,no,,'(4),,
436,19480,0002146-71-6,"lauric acid, vinyl ester",no,yes,no,,,,
437,11245,0002156-97-0,"acrylic acid, dodecyl ester",no,yes,no,"0,05",,,'(2)
438,13303,0002162-74-5,"bis(2,6-diisopropylphenyl) carbodiimide",no,yes,no,"0,05",,"Expressed as the sum of bis(2,6-diisopropylphenyl)carbodiimide and its hydrolysis product 2,6-diisopropylaniline",
439,21280,0002177-70-0,"methacrylic acid, phenyl ester",no,yes,no,,'(23),,
440,21340,0002210-28-8,"methacrylic acid, propyl ester",no,yes,no,,'(23),,
441,38160,0002315-68-6,"benzoic acid, propyl ester",yes,no,no,,,,
442,13780,0002425-79-8,"1,4-butanediol bis(2,3-epoxypropyl)ether",no,yes,no,ND,,Residual content = 1 mg/kg in final product expressed as epoxygroup. Molecular weight is 43 Da.,'(10)
443,12788,0002432-99-7,11-aminoundecanoic acid,no,yes,no,5,,,
444,61440,0002440-22-4,2-(2′-hydroxy-5′-methylphenyl)benzotriazole,yes,no,no,,'(12),,
445,83440,0002466-09-3,pyrophosphoric acid,yes,no,no,,,,
446,10750,0002495-35-4,"acrylic acid, benzyl ester",no,yes,no,,'(22),,
447,20080,0002495-37-6,"methacrylic acid, benzyl ester",no,yes,no,,'(23),,
448,11890,0002499-59-4,"acrylic acid, n-octyl ester",no,yes,no,,'(22),,
449,49840,0002500-88-1,dioctadecyl disulphide,yes,no,yes,"0,05",,,
450,24430,0002561-88-8,sebacic anhydride,no,yes,no,,,,
451,66755,0002682-20-4,2-methyl-4-isothiazolin-3-one,yes,no,no,"0,5",,Only to be used in aqueous polymer dispersions and emulsions,
452,38885,0002725-22-6,"2,4-bis(2,4-dimethylphenyl)-6-(2-hydroxy-4-n-octyloxyphenyl)-1,3,5-triazine",yes,no,no,5,,,
453,26320,0002768-02-7,vinyltrimethoxysilane,no,yes,no,"0,05",,,'(10)
454,12670,0002855-13-2,"1-amino-3-aminomethyl-3,5,5-trimethylcyclohexane",no,yes,no,6,,,
455,20530,0002867-47-2,"methacrylic acid, 2-(dimethylamino)-ethyl ester",no,yes,no,ND,,,
456,10810,0002998-08-5,"acrylic acid, sec-butyl ester",no,yes,no,,'(22),,
457,20140,0002998-18-7,"methacrylic acid, sec-butyl ester",no,yes,no,,'(23),,
458,36960,0003061-75-4,behenamide,yes,no,no,,,,
459,46870,0003135-18-0,"3,5-di-tert-butyl-4-hydroxybenzylphosphonic acid, dioctadecyl ester",yes,no,no,,,,
460,14950,0003173-53-3,cyclohexyl isocyanate,no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
461,22420,0003173-72-6,"1,5-naphthalene diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
462,26170,0003195-78-6,N-vinyl-N-methylacetamide,no,yes,no,"0,02",,, (1) 
463,25840,0003290-92-4,"1,1,1-trimethylolpropane trimethacrylate",no,yes,no,"0,05",,,
464,61280,0003293-97-8,2-hydroxy-4-n-hexyloxybenzophenone,yes,no,yes,,'(8),,
465,68040,0003333-62-8,"7-[2H-naphtho-(1,2-D)triazol-2-yl]-3-phenylcoumarin",yes,no,no,,,,
466,50640,0003648-18-8,di-n-octyltin dilaurate,yes,no,no,,'(10),,
467,14800,3724-65-0,crotonic acid,yes,yes,no,,'(35),,
467,45600,3724-65-0,crotonic acid,yes,yes,no,,'(35),,
468,71960,0003825-26-1,"perfluorooctanoic acid, ammonium salt",yes,no,no,,,"Only to be used in repeated use articles, sintered at high temperatures",
469,60480,0003864-99-1,"2-(2′-hydroxy-3,5′-di-tert-butylphenyl)-5-chlorobenzotriazole",yes,no,yes,,'(12),,
470,60400,0003896-11-5,2-(2′-hydroxy-3′-tert-butyl-5′-methylphenyl)-5-chlorobenzotriazole,yes,no,yes,,'(12),,
471,24888,0003965-55-7,"5-sulphoisophthalic acid, monosodium salt, dimethyl ester",no,yes,no,"0,05",,,
472,66560,0004066-02-8,"2,2′-methylenebis(4-methyl-6-cyclohexylphenol)",yes,no,yes,,'(5),,
473,12265,0004074-90-2,"adipic acid, divinyl ester",no,yes,no,ND,,5 mg/kg in final product. Only to be used as co-monomer.,'(1)
474,43600,0004080-31-3,"1-(3-chloroallyl)-3,5,7-triaza-1-azoniaadamantane chloride",yes,no,no,"0,3",,,
475,19110,0004098-71-9,"1-isocyanato-3-isocyanatomethyl-3,5,5-trimethylcyclohexane",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
476,16570,0004128-73-8,"diphenylether-4,4′-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
477,46720,0004130-42-1,"2,6-di-tert-butyl-4-ethylphenol",yes,no,yes,"4,8",,,'(1)
478,60180,0004191-73-5,"4-hydroxybenzoic acid, isopropyl ester",yes,no,no,,,,
479,12970,0004196-95-6,azelaic anhydride,no,yes,no,,,,
480,46790,0004221-80-1,"3,5-di-tert-butyl-4-hydroxybenzoic acid, 2,4-di-tert-butylphenyl ester",yes,no,no,,,,
481,13060,0004422-95-1,"1,3,5-benzenetricarboxylic acid trichloride",no,yes,no,"0,05",,"SML expressed as 1,3,5-benzenetricarboxylic acid", (1) 
482,21100,0004655-34-9,"methacrylic acid, isopropyl ester",no,yes,no,,'(23),,
483,68860,0004724-48-5,n-octylphosphonic acid,yes,no,no,"0,05",,,
484,13395,0004767-03-7,"2,2-bis(hydroxymethyl)propionic acid",no,yes,no,"0,05",,,'(1)
485,13560,0005124-30-1,"dicyclohexylmethane-4,4′-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
485,15700,0005124-30-1,"dicyclohexylmethane-4,4′-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
486,54005,0005136-44-7,ethylene-N-palmitamide-N′-stearamide,yes,no,no,,,,
487,45640,0005232-99-5,"2-cyano-3,3-diphenylacrylic acid, ethyl ester",yes,no,no,"0,05",,,
488,53440,0005518-18-3,"N,N′-ethylenebispalmitamide",yes,no,no,,,,
489,41040,0005743-36-2,calcium butyrate,yes,no,no,,,,
490,16600,0005873-54-1,"diphenylmethane-2,4′-diisocyanate",no,yes,no,,'(17),1 mg/kg in final product expressed as isocyanate moiety,'(10)
491,82720,0006182-11-2,"1,2-propyleneglycol distearate",yes,no,no,,,,
492,45650,0006197-30-4,"2-cyano-3,3-diphenylacrylic acid, 2-ethylhexyl ester",yes,no,no,"0,05",,,
493,39200,0006200-40-4,bis(2-hydroxyethyl)-2-hydroxypropyl-3-(dodecyloxy)methylammonium chloride,yes,no,no,"1,8",,,
494,62140,0006303-21-5,hypophosphorous acid,yes,no,no,,,,
495,35160,0006642-31-5,"6-amino-1,3-dimethyluracil",yes,no,no,5,,,
496,71680,0006683-19-8,"pentaerythritol tetrakis[3-(3,5-di-tert-butyl-4-hydroxyphenyl)-propionate]",yes,no,no,,,,
497,95020,0006846-50-0,"2,2,4-trimethyl-1,3-pentanediol diisobutyrate",yes,no,no,5,,Only to be used in single-use gloves,
498,16210,0006864-37-5,"3,3′-dimethyl-4,4′-diaminodicyclohexylmethane",no,yes,no,"0,05",,Only to be used in polyamides,'(5)
499,19965,0006915-15-7,malic acid,yes,yes,no,,,In case of use as a monomer only to be used as a co-monomer in aliphatic polyesters up to maximum level of 1 % on a molar basis,
499,65020,0006915-15-7,malic acid,yes,yes,no,,,In case of use as a monomer only to be used as a co-monomer in aliphatic polyesters up to maximum level of 1 % on a molar basis,
500,38560,0007128-64-5,"2,5-bis(5-tert-butyl-2-benzoxazolyl)thiophene",yes,no,yes,"0,6",,,
501,34480,,"aluminium fibers, flakes and powders",yes,no,no,,,,
502,22778,0007456-68-0,"4,4′-oxybis(benzenesulphonyl azide)",no,yes,no,"0,05",,, (1) 
503,46080,0007585-39-9,β-dextrin,yes,no,no,,,,
504,86240,0007631-86-9,silicon dioxide,yes,no,no,,,"For synthetic amorphous silicon dioxide: primary particles of 1 - 100 nm which are aggregated to a size of 0,1 - 1 μm which may form agglomerates within the size distribution of 0,3 μm to the mm size.",
505,86480,0007631-90-5,sodium bisulphite,yes,no,no,,'(19),,
506,86920,0007632-00-0,sodium nitrite,yes,no,no,"0,6",,,
507,59990,0007647-01-0,hydrochloric acid,yes,no,no,,,,
508,86560,0007647-15-6,sodium bromide,yes,no,no,,,,
509,23170,0007664-38-2,phosphoric acid,yes,yes,no,,,,
509,72640,0007664-38-2,phosphoric acid,yes,yes,no,,,,
510,12789,0007664-41-7,ammonia,yes,yes,no,,,,
510,35320,0007664-41-7,ammonia,yes,yes,no,,,,
511,91920,0007664-93-9,sulphuric acid,yes,no,no,,,,
512,81680,0007681-11-0,potassium iodide,yes,no,no,,'(6),,
513,86800,0007681-82-5,sodium iodide,yes,no,no,,'(6),,
514,91840,0007704-34-9,sulphur,yes,no,no,,,,
515,26360,0007732-18-5,water,yes,yes,no,,,In compliance with Directive 98/83/EC (2),
515,95855,0007732-18-5,water,yes,yes,no,,,In compliance with Directive 98/83/EC (2),
516,86960,0007757-83-7,sodium sulphite,yes,no,no,,'(19),,
